Notes,Cause of death,Cause of death Code,Ten-Year Age Groups,Ten-Year Age Groups Code,Deaths,Population,Crude Rate
,"Cholera, unspecified",A00.9,55-64 years,55-64,1,40877819,Unreliable
,"Paratyphoid fever, unspecified",A01.4,45-54 years,45-54,1,43188161,Unreliable
,Salmonella enteritis,A02.0,15-24 years,15-24,1,43848216,Unreliable
,Salmonella enteritis,A02.0,45-54 years,45-54,1,43188161,Unreliable
,Salmonella enteritis,A02.0,55-64 years,55-64,2,40877819,Unreliable
,Salmonella enteritis,A02.0,65-74 years,65-74,6,27550517,Unreliable
,Salmonella enteritis,A02.0,75-84 years,75-84,5,13923174,Unreliable
,Salmonella enteritis,A02.0,85+ years,85+,2,6287161,Unreliable
,Salmonella septicaemia,A02.1,< 1 year,1,2,3978038,Unreliable
,Salmonella septicaemia,A02.1,1-4 years,1-4,1,15929243,Unreliable
,Salmonella septicaemia,A02.1,45-54 years,45-54,1,43188161,Unreliable
,Salmonella septicaemia,A02.1,55-64 years,55-64,7,40877819,Unreliable
,Salmonella septicaemia,A02.1,65-74 years,65-74,5,27550517,Unreliable
,Salmonella septicaemia,A02.1,75-84 years,75-84,4,13923174,Unreliable
,Salmonella septicaemia,A02.1,85+ years,85+,6,6287161,Unreliable
,Localized salmonella infections,A02.2,< 1 year,1,1,3978038,Unreliable
,Localized salmonella infections,A02.2,75-84 years,75-84,2,13923174,Unreliable
,"Salmonella infection, unspecified",A02.9,15-24 years,15-24,1,43848216,Unreliable
,"Salmonella infection, unspecified",A02.9,25-34 years,25-34,1,44137202,Unreliable
,"Salmonella infection, unspecified",A02.9,45-54 years,45-54,1,43188161,Unreliable
,"Salmonella infection, unspecified",A02.9,55-64 years,55-64,1,40877819,Unreliable
,"Salmonella infection, unspecified",A02.9,65-74 years,65-74,1,27550517,Unreliable
,"Salmonella infection, unspecified",A02.9,85+ years,85+,1,6287161,Unreliable
,Shigellosis due to Shigella sonnei,A03.3,35-44 years,35-44,1,40589783,Unreliable
,"Shigellosis, unspecified",A03.9,35-44 years,35-44,1,40589783,Unreliable
,Other intestinal Escherichia coli infections,A04.4,35-44 years,35-44,1,40589783,Unreliable
,Other intestinal Escherichia coli infections,A04.4,55-64 years,55-64,1,40877819,Unreliable
,Other intestinal Escherichia coli infections,A04.4,75-84 years,75-84,1,13923174,Unreliable
,Campylobacter enteritis,A04.5,35-44 years,35-44,1,40589783,Unreliable
,Campylobacter enteritis,A04.5,85+ years,85+,1,6287161,Unreliable
,Enterocolitis due to Clostridium difficile,A04.7,< 1 year,1,2,3978038,Unreliable
,Enterocolitis due to Clostridium difficile,A04.7,1-4 years,1-4,2,15929243,Unreliable
,Enterocolitis due to Clostridium difficile,A04.7,5-14 years,5-14,3,41109506,Unreliable
,Enterocolitis due to Clostridium difficile,A04.7,15-24 years,15-24,8,43848216,Unreliable
,Enterocolitis due to Clostridium difficile,A04.7,25-34 years,25-34,22,44137202,0
,Enterocolitis due to Clostridium difficile,A04.7,35-44 years,35-44,67,40589783,0.2
,Enterocolitis due to Clostridium difficile,A04.7,45-54 years,45-54,214,43188161,0.5
,Enterocolitis due to Clostridium difficile,A04.7,55-64 years,55-64,650,40877819,1.6
,Enterocolitis due to Clostridium difficile,A04.7,65-74 years,65-74,1272,27550517,4.6
,Enterocolitis due to Clostridium difficile,A04.7,75-84 years,75-84,2256,13923174,16.2
,Enterocolitis due to Clostridium difficile,A04.7,85+ years,85+,2913,6287161,46.3
,Enterocolitis due to Clostridium difficile,A04.7,Not Stated,NS,1,Not Applicable,Not Applicable
,Other specified bacterial intestinal infections,A04.8,15-24 years,15-24,1,43848216,Unreliable
,Other specified bacterial intestinal infections,A04.8,35-44 years,35-44,1,40589783,Unreliable
,Other specified bacterial intestinal infections,A04.8,45-54 years,45-54,1,43188161,Unreliable
,Other specified bacterial intestinal infections,A04.8,55-64 years,55-64,6,40877819,Unreliable
,Other specified bacterial intestinal infections,A04.8,65-74 years,65-74,16,27550517,Unreliable
,Other specified bacterial intestinal infections,A04.8,75-84 years,75-84,13,13923174,Unreliable
,Other specified bacterial intestinal infections,A04.8,85+ years,85+,26,6287161,0.4
,"Bacterial intestinal infection, unspecified",A04.9,45-54 years,45-54,2,43188161,Unreliable
,"Bacterial intestinal infection, unspecified",A04.9,55-64 years,55-64,3,40877819,Unreliable
,"Bacterial intestinal infection, unspecified",A04.9,65-74 years,65-74,2,27550517,Unreliable
,"Bacterial intestinal infection, unspecified",A04.9,75-84 years,75-84,1,13923174,Unreliable
,"Bacterial intestinal infection, unspecified",A04.9,85+ years,85+,5,6287161,Unreliable
,Botulism,A05.1,< 1 year,1,1,3978038,Unreliable
,Botulism,A05.1,55-64 years,55-64,3,40877819,Unreliable
,Foodborne Vibrio parahaemolyticus intoxication,A05.3,55-64 years,55-64,1,40877819,Unreliable
,"Bacterial foodborne intoxication, unspecified",A05.9,35-44 years,35-44,1,40589783,Unreliable
,Amoebic infection of other sites,A06.8,75-84 years,75-84,1,13923174,Unreliable
,"Amoebiasis, unspecified",A06.9,85+ years,85+,1,6287161,Unreliable
,Cryptosporidiosis,A07.2,85+ years,85+,1,6287161,Unreliable
,Isosporiasis,A07.3,75-84 years,75-84,1,13923174,Unreliable
,Isosporiasis,A07.3,85+ years,85+,1,6287161,Unreliable
,Rotaviral enteritis,A08.0,< 1 year,1,3,3978038,Unreliable
,Rotaviral enteritis,A08.0,1-4 years,1-4,2,15929243,Unreliable
,Rotaviral enteritis,A08.0,5-14 years,5-14,1,41109506,Unreliable
